Classification Code,Start Range,End Range,Start Range Number,End Range Number,Group1,Group2,Group3,Group4,Group5
BF,BF885.001,BF888.999,885.001,888.999,Psychology,,,,
BF,BF889,BF905,889.0,905.0,Psychology,Graphology. Study of handwriting,,,
BF,BF905.001,BF907.999,905.001,907.999,Psychology,,,,
BF,BF908,BF940,908.0,940.0,Psychology,The hand. Palmistry,,,
BF,BF940.001,BF990,940.001,990.0,Psychology,,,,
BF,BF990.001,BF1000.999,990.001,1000.999,Psychology,,,,
BF,BF1001,BF1045,1001.0,1045.0,Parapsychology,Psychic research. Psychology of the conscious,,,
BF,BF1045.001,BF1047.999,1045.001,1047.999,Parapsychology,,,,
BF,BF1048,BF1108,1048.0,1108.0,Parapsychology,Hallucinations. Sleep. Dreaming. Visions,,,
BF,BF1108.001,BF1110.999,1108.001,1110.999,Parapsychology,,,,
BF,BF1111,BF1156,1111.0,1156.0,Parapsychology,Hypnotism. Suggestion. Mesmerism. Subliminal projection,,,
BF,BF1156.001,BF1160.999,1156.001,1160.999,Parapsychology,,,,
BF,BF1161,BF1171,1161.0,1171.0,Parapsychology,Telepathy. Mind reading. Thought transference,,,
BF,BF1171.001,BF1227.999,1171.001,1227.999,Parapsychology,,,,
BF,BF1228,BF1389,1228.0,1389.0,Parapsychology,"Spiritualism Including mediumship, spirit messages, clairvoyance",,,
BF,BF1389.001,BF1403.999,1389.001,1403.999,Parapsychology,,,,
BF,BF1404,BF1443.999,1404.0,1443.999,Parapsychology,,,,
BF,BF1444,BF1486,1444.0,1486.0,Occult sciences,Ghosts. Apparitions. Hauntings,,,
BF,BF1486.001,BF1500.999,1486.001,1500.999,Occult sciences,,,,
BF,BF1501,BF1562,1501.0,1562.0,Occult sciences,Demonology. Satanism. Possession,,,
BF,BF1562.001,BF1562.499,1562.001,1562.499,Occult sciences,,,,
BF,BF1562.5,BF1584,1562.5,1584.0,Occult sciences,Witchcraft,,,
BF,BF1584.001,BF1584.999,1584.001,1584.999,Occult sciences,,,,
BF,BF1585,BF1623,1585.0,1623.0,Occult sciences,Magic. Hermetics. Necromancy,,,
BF,BF1623.001,BF1650.999,1623.001,1650.999,Occult sciences,,,,
BF,BF1651,BF1729,1651.0,1729.0,Occult sciences,Astrology,,,
BF,BF1729.001,BF1744.999,1729.001,1744.999,Occult sciences,,,,
BF,BF1745,BF1779,1745.0,1779.0,Occult sciences,Oracles. Sibyls. Divinations,,,
BF,BF1779.001,BF1782.999,1779.001,1782.999,Occult sciences,,,,
BF,BF1783,BF1815,1783.0,1815.0,Occult sciences,Seers. Prophets. Prophecies,,,
BF,BF1815.001,BF1844.999,1815.001,1844.999,Occult sciences,,,,
BF,BF1845,BF1891,1845.0,1891.0,Occult sciences,Fortune-telling,,,
BF,BF1891.001,BF2049.999,1891.001,2049.999,Occult sciences,,,,
BF,BF2050,BF2055,2050.0,2055.0,Occult sciences,Human-alien encounters. Contact between humans and extraterrestrials,,,
BH,BH1,BH80.999,1.0,80.999,Aesthetics,,,,
BH,BH81,BH208,81.0,208.0,Aesthetics,History,,,
BH,BH208.001,BH300.999,208.001,300.999,Aesthetics,,,,
BH,BH301,BH301,301.0,301.0,Aesthetics,Special topics,,,
BJ,BJ1,BJ70.999,1.0,70.999,Ethics,,,,
BJ,BJ71,BJ1185,71.0,1185.0,Ethics,History and general works Including individual ethical philosophers,,,
BJ,BJ1185.001,BJ1187.999,1185.001,1187.999,Ethics,,,,
BJ,BJ1188,BJ1295,1188.0,1295.0,Ethics,Religious ethics,,,
BJ,BJ1295.001,BJ1297.999,1295.001,1297.999,Ethics,,,,
BJ,BJ1298,BJ1335,1298.0,1335.0,Ethics,Evolutionary and genetic ethics,,,
BJ,BJ1335.001,BJ1364.999,1335.001,1364.999,Ethics,,,,
BJ,BJ1365,BJ1385,1365.0,1385.0,Ethics,Positivist ethics,,,
BJ,BJ1385.001,BJ1387.999,1385.001,1387.999,Ethics,,,,
BJ,BJ1388,BJ1388,1388.0,1388.0,Ethics,Socialist ethics,,,
BJ,BJ1388.001,BJ1389.999,1388.001,1389.999,Ethics,,,,
BJ,BJ1390,BJ1390.5,1390.0,1390.5,Ethics,Communist ethics,,,
BJ,BJ1390.501,BJ1391.999,1390.501,1391.999,Ethics,,,,
BJ,BJ1392,BJ1392,1392.0,1392.0,Ethics,Totalitarian ethics,,,
BJ,BJ1392.001,BJ1394.999,1392.001,1394.999,Ethics,,,,
BJ,BJ1395,BJ1395,1395.0,1395.0,Ethics,Feminist ethics,,,
BJ,BJ1395.001,BJ1517.999,1395.001,1517.999,Ethics,,,,
BJ,BJ1518,BJ1697,1518.0,1697.0,Ethics,"Individual ethics. Character. Virtue Including practical and applied ethics, conduct of life, vices, success, ethics for children",,,
BJ,BJ1697.001,BJ1724.999,1697.001,1724.999,Ethics,,,,
BJ,BJ1725,BJ1725,1725.0,1725.0,Ethics,"Ethics of social groups, classes, etc. Professional ethics",,,
BJ,BJ1725.001,BJ1800.999,1725.001,1800.999,Ethics,,,,
BJ,BJ1801,BJ2020.999,1801.0,2020.999,Ethics,,,,
BJ,BJ2021,BJ2078,2021.0,2078.0,Social usages.  Etiquette,Etiquette of entertaining,,,
BJ,BJ2078.001,BJ2138.999,2078.001,2138.999,Social usages.  Etiquette,,,,
BJ,BJ2139,BJ2156,2139.0,2156.0,Social usages.  Etiquette,Etiquette of travel,,,
BJ,BJ2156.001,BJ2194.999,2156.001,2194.999,Social usages.  Etiquette,,,,
BJ,BJ2195,BJ2195,2195.0,2195.0,Social usages.  Etiquette,Telephone etiquette,,,
BL,BL1,BL50,1.0,50.0,Religions.  Mythology.  Rationalism,Religion (General),,,
BL,BL50.001,BL50.999,50.001,50.999,Religions.  Mythology.  Rationalism,,,,
BL,BL51,BL65,51.0,65.0,Religions.  Mythology.  Rationalism,Philosophy of religion. Psychology of religion. Religion in relation to other subjects,,,
BL,BL65.001,BL69.999,65.001,69.999,Religions.  Mythology.  Rationalism,,,,
BL,BL70,BL71,70.0,71.0,Religions.  Mythology.  Rationalism,Sacred books (General),,,
BL,BL71.001,BL71.499,71.001,71.499,Religions.  Mythology.  Rationalism,,,,
BL,BL71.5,BL73,71.5,73.0,Religions.  Mythology.  Rationalism,Biography,,,
BL,BL73.001,BL73.999,73.001,73.999,Religions.  Mythology.  Rationalism,,,,
BL,BL74,BL99,74.0,99.0,Religions.  Mythology.  Rationalism,Religions of the world,,,
BL,BL99.001,BL174.999,99.001,174.999,Religions.  Mythology.  Rationalism,,,,
BL,BL175,BL190,175.0,190.0,Religions.  Mythology.  Rationalism,Natural theology,General,,
BL,BL190.001,BL199.999,190.001,199.999,Religions.  Mythology.  Rationalism,Natural theology,,,
BL,BL200,BL200,200.0,200.0,Religions.  Mythology.  Rationalism,Natural theology,Theism,,
BL,BL200.001,BL204.999,200.001,204.999,Religions.  Mythology.  Rationalism,Natural theology,,,
BL,BL205,BL216,205.0,216.0,Religions.  Mythology.  Rationalism,Natural theology,Nature and attributes of Deity,,
