Classification Code,Start Range,End Range,Start Range Number,End Range Number,Group1,Group2,Group3,Group4,Group5
KZ,KZ5647,KZ5686,5647.0,5686.0,Law of nations,International law of peace and peace enforcement,The system of collective security,Arms control and disarmament regimes,Nuclear (Strategic) arms limitation
KZ,KZ5686.001,KZ5686.999,5686.001,5686.999,Law of nations,International law of peace and peace enforcement,The system of collective security,,
KZ,KZ5687,KZ5788.5,5687.0,5788.5,Law of nations,International law of peace and peace enforcement,The system of collective security,Arms control and disarmament regimes,Nuclear weapon free zones and zones of peace
KZ,KZ5788.501,KZ5833.999,5788.501,5833.999,Law of nations,International law of peace and peace enforcement,The system of collective security,,
KZ,KZ5834,KZ5865,5834.0,5865.0,Law of nations,International law of peace and peace enforcement,The system of collective security,Arms control and disarmament regimes,Other weapons of mass destruction
KZ,KZ5865.001,KZ5869.999,5865.001,5869.999,Law of nations,International law of peace and peace enforcement,The system of collective security,,
KZ,KZ5870,KZ5893,5870.0,5893.0,Law of nations,International law of peace and peace enforcement,The system of collective security,Arms control and disarmament regimes,Mutual and balanced reduction of armed forces
KZ,KZ5893.001,KZ5899.999,5893.001,5899.999,Law of nations,International law of peace and peace enforcement,The system of collective security,,
KZ,KZ5900,KZ5967,5900.0,5967.0,Law of nations,International law of peace and peace enforcement,The system of collective security,Military pact systems for collective self-defense,
KZ,KZ5967.001,KZ6008.999,5967.001,6008.999,Law of nations,International law of peace and peace enforcement,The system of collective security,,
KZ,KZ6009,KZ6114.999,6009.0,6114.999,Law of nations,International law of peace and peace enforcement,The system of collective security,,
KZ,KZ6115,KZ6299,6115.0,6299.0,Law of nations,International law of peace and peace enforcement,The system of collective security,Pacific settlement of international disputes and conflict resolution,Arbitration and adjudication
KZ,KZ6299.001,KZ6349.999,6299.001,6349.999,Law of nations,International law of peace and peace enforcement,The system of collective security,,
KZ,KZ6350,KZ6359.999,6350.0,6359.999,Law of nations,International law of peace and peace enforcement,,,
KZ,KZ6360,KZ6373,6360.0,6373.0,Law of nations,Enforced settlement of international disputes,Non-military coercion,,
KZ,KZ6373.001,KZ6373.999,6373.001,6373.999,Law of nations,Enforced settlement of international disputes,,,
KZ,KZ6374,KZ6377,6374.0,6377.0,Law of nations,Enforced settlement of international disputes,Threat of force,,
KZ,KZ6377.001,KZ6377.999,6377.001,6377.999,Law of nations,Enforced settlement of international disputes,,,
KZ,KZ6378,KZ6426.999,6378.0,6426.999,Law of nations,Enforced settlement of international disputes,,,
KZ,KZ6427,KZ6437,6427.0,6437.0,Law of nations,Enforced settlement of international disputes,Law of war and neutrality.  Jus belli,Warfare on land,
KZ,KZ6437.001,KZ6439.999,6437.001,6439.999,Law of nations,Enforced settlement of international disputes,Law of war and neutrality.  Jus belli,,
KZ,KZ6440,KZ6530,6440.0,6530.0,Law of nations,Enforced settlement of international disputes,Law of war and neutrality.  Jus belli,Humanitarian law,
KZ,KZ6530.001,KZ6539.999,6530.001,6539.999,Law of nations,Enforced settlement of international disputes,Law of war and neutrality.  Jus belli,,
KZ,KZ6540,KZ6660,6540.0,6660.0,Law of nations,Enforced settlement of international disputes,Law of war and neutrality.  Jus belli,Warfare on sea,
KZ,KZ6660.001,KZ6664.999,6660.001,6664.999,Law of nations,Enforced settlement of international disputes,Law of war and neutrality.  Jus belli,,
KZ,KZ6665,KZ6714,6665.0,6714.0,Law of nations,Enforced settlement of international disputes,Law of war and neutrality.  Jus belli,Air warfare,
KZ,KZ6714.001,KZ6729.999,6714.001,6729.999,Law of nations,Enforced settlement of international disputes,Law of war and neutrality.  Jus belli,,
KZ,KZ6730,KZ6785,6730.0,6785.0,Law of nations,Enforced settlement of international disputes,Law of war and neutrality.  Jus belli,The end of war.  Armistice.  Surrender.  Postliminy,
KZ,KZ6785.001,KZ6795,6785.001,6795.0,Law of nations,,,,
KZ,KZ7095,KZ7095,7095.0,7095.0,Law of nations,International criminal law and procedure,International criminal law,Forms of crime and criminal responsibility,Command responsibility
KZ,KZ7230,KZ7230,7230.0,7230.0,Law of nations,International criminal law and procedure,International criminal courts,General works,
KZA,KZA1,KZA1001.999,1.0,1001.999,Law of the sea,,,,
KZA,KZA1002,KZA1039.999,1002.0,1039.999,Law of the sea,,,,
KZA,KZA1040,KZA1065,1040.0,1065.0,Law of the sea,Intergovernmental congresses and conferences,,,
KZA,KZA1065.001,KZA1117.999,1065.001,1117.999,Law of the sea,,,,
KZA,KZA1118,KZA1122,1118.0,1122.0,Law of the sea,Treaties and other international agreements,,,
KZA,KZA1122.001,KZA1339.999,1122.001,1339.999,Law of the sea,,,,
KZA,KZA1340,KZA1340,1340.0,1340.0,Law of the sea,Concepts and principles,Mare clausum doctrine,,
KZA,KZA1340.001,KZA1347.999,1340.001,1347.999,Law of the sea,Concepts and principles,,,
KZA,KZA1348,KZA1405,1348.0,1405.0,Law of the sea,Concepts and principles,Mare liberum doctrine,,
KZA,KZA1405.001,KZA1417,1405.001,1417.0,Law of the sea,Concepts and principles,,,
KZA,KZA1417.001,KZA1429.999,1417.001,1429.999,Law of the sea,,,,
KZA,KZA1430,KZA1629.999,1430.0,1629.999,Law of the sea,Concepts and principles,,,
KZA,KZA1630,KZA1664,1630.0,1664.0,Law of the sea,Maritime boundaries,Continental shelf,,
KZA,KZA1664.001,KZA1690,1664.001,1690.0,Law of the sea,,,,
KZA,KZA1690.001,KZA3480.999,1690.001,3480.999,Law of the sea,,,,
KZA,KZA3481,KZA3890.999,3481.0,3890.999,Law of the sea,Maritime boundaries,,,
KZA,KZA3891,KZA3900,3891.0,3900.0,Law of the sea,Marine resources conservation and development,High-seas fisheries and fisheries regimes,,
KZA,KZA3900.001,KZA4129.999,3900.001,4129.999,Law of the sea,Marine resources conservation and development,,,
KZA,KZA4130,KZA4205,4130.0,4205.0,Law of the sea,Public order of the oceans,,,
KZD,KZD1,KZD1001.999,1.0,1001.999,Space law.  Law of outer space,Peaceful uses of outer space,,,
KZD,KZD1002,KZD1039.999,1002.0,1039.999,Space law.  Law of outer space,Peaceful uses of outer space,,,
KZD,KZD1040,KZD1065,1040.0,1065.0,Space law.  Law of outer space,Intergovernmental congresses and conferences,,,
KZD,KZD1065.001,KZD1117.999,1065.001,1117.999,Space law.  Law of outer space,,,,
KZD,KZD1118,KZD1122,1118.0,1122.0,Space law.  Law of outer space,Treaties and other international agreements,,,
KZD,KZD1122.001,KZD1339.999,1122.001,1339.999,Space law.  Law of outer space,,,,
KZD,KZD1340,KZD1389.999,1340.0,1389.999,Space law.  Law of outer space,,,,
KZD,KZD1390,KZD1400,1390.0,1400.0,Space law.  Law of outer space,Concepts and principles.  Theory,Regulated use theory,,
KZD,KZD1400.001,KZD1409.999,1400.001,1409.999,Space law.  Law of outer space,Concepts and principles.  Theory,,,
KZD,KZD1410,KZD1410,1410.0,1410.0,Space law.  Law of outer space,The source of the law of space,,,
KZD,KZD1410.001,KZD1419.999,1410.001,1419.999,Space law.  Law of outer space,,,,
KZD,KZD1420,KZD1455,1420.0,1455.0,Space law.  Law of outer space,Boundaries,,,
KZD,KZD1455.001,KZD3488.999,1455.001,3488.999,Space law.  Law of outer space,,,,
KZD,KZD3489,KZD3489.499,3489.0,3489.499,Space law.  Law of outer space,,,,
KZD,KZD3489.5,KZD3608,3489.5,3608.0,Space law.  Law of outer space,Peaceful uses of outer space,Space resources,,
KZD,KZD3608.001,KZD4029.999,3608.001,4029.999,Space law.  Law of outer space,Peaceful uses of outer space,,,
KZD,KZD4030,KZD4079.999,4030.0,4079.999,Space law.  Law of outer space,Peaceful uses of outer space,,,
KZD,KZD4080,KZD4210,4080.0,4210.0,Space law.  Law of outer space,Peaceful uses of outer space,Public order in space and outer space,Space flight,
KZD,KZD4210.001,KZD4300.999,4210.001,4300.999,Space law.  Law of outer space,Peaceful uses of outer space,Public order in space and outer space,,
KZD,KZD4301,KZD4310,4301.0,4310.0,Space law.  Law of outer space,Peaceful uses of outer space,Public order in space and outer space,Space communication,
KZD,KZD4310.001,KZD4320.199,4310.001,4320.199,Space law.  Law of outer space,Peaceful uses of outer space,Public order in space and outer space,,
KZD,KZD4320.2,KZD4326,4320.2,4326.0,Space law.  Law of outer space,Peaceful uses of outer space,Rescue operations in outer space,,
KZD,KZD4326.001,KZD4406,4326.001,4406.0,Space law.  Law of outer space,Peaceful uses of outer space,,,
KZD,KZD4406.001,KZD4439.999,4406.001,4439.999,Space law.  Law of outer space,Peaceful uses of outer space,,,
KZD,KZD4440,KZD5613.999,4440.0,5613.999,Space law.  Law of outer space,Peaceful uses of outer space,,,
KZD,KZD5614,KZD5619.999,5614.0,5619.999,Space law.  Law of outer space,Peaceful uses of outer space,,,
KZD,KZD5620,KZD5622.2,5620.0,5622.2,Space law.  Law of outer space,Un-peaceful uses of outer space,Treaties and other international agreements,,
KZD,KZD5622.201,KZD5647.999,5622.201,5647.999,Space law.  Law of outer space,Un-peaceful uses of outer space,,,
KZD,KZD5648,KZD5680.2,5648.0,5680.2,Space law.  Law of outer space,Un-peaceful uses of outer space,Disarmament and demilitarization regimes in outer space,,
KZD,KZD5680.201,KZD6715,5680.201,6715.0,Space law.  Law of outer space,Un-peaceful uses of outer space,,,
L,L1,L6.999,1.0,6.999,Education (General),,,,
L,L7,L97,7.0,97.0,Education (General),Periodicals. Societies,,,
L,L97.001,L100.999,97.001,100.999,Education (General),,,,
L,L101,L101,101.0,101.0,Education (General),Yearbooks,,,
L,L101.001,L106.999,101.001,106.999,Education (General),,,,
L,L107,L107,107.0,107.0,Education (General),Congresses,,,
L,L107.001,L110.999,107.001,110.999,Education (General),,,,
L,L111,L791,111.0,791.0,Education (General),"Official documents, reports, etc.",,,
L,L791.001,L796.999,791.001,796.999,Education (General),,,,
L,L797,L898,797.0,898.0,Education (General),Educational exhibitions and museums,,,
L,L898.001,L898.999,898.001,898.999,Education (General),,,,
L,L899,L899,899.0,899.0,Education (General),School fairs,,,
L,L899.001,L899.999,899.001,899.999,Education (General),,,,
L,L900,L991,900.0,991.0,Education (General),Directories of educational institutions,,,
LA,LA1,LA4.999,1.0,4.999,History of education,,,,
LA,LA5,LA25,5.0,25.0,History of education,General,,,
LA,LA25.001,LA30.999,25.001,30.999,History of education,,,,
LA,LA31,LA135,31.0,135.0,History of education,By period,,,
LA,LA135.001,LA172.999,135.001,172.999,History of education,,,,
LA,LA173,LA186,173.0,186.0,History of education,Higher education,,,
LA,LA186.001,LA200.999,186.001,200.999,History of education,,,,
LA,LA201,LA398,201.0,398.0,History of education,United States,,,
LA,LA398.001,LA409.999,398.001,409.999,History of education,,,,
LA,LA410,LA2284,410.0,2284.0,History of education,Other regions or countries,,,
LA,LA2284.001,LA2300.999,2284.001,2300.999,History of education,,,,
LA,LA2301,LA2396,2301.0,2396.0,History of education,Biography,,,
LB,LB1,LB4.999,1.0,4.999,Theory and practice of education,,,,
LB,LB5,LB45,5.0,45.0,Theory and practice of education,General,,,
LB,LB45.001,LB50.999,45.001,50.999,Theory and practice of education,,,,
LB,LB51,LB885,51.0,885.0,Theory and practice of education,Systems of individual educators and writers,,,
LB,LB885.001,LB1024.999,885.001,1024.999,Theory and practice of education,,,,
LB,LB1025,LB1049.899,1025.0,1049.899,Theory and practice of education,,,,
LB,LB1049.9,LB1050.75,1049.9,1050.75,Theory and practice of education,Teaching (Principles and practice),Reading (General),,
LB,LB1050.751,LB1050.899,1050.751,1050.899,Theory and practice of education,Teaching (Principles and practice),,,
LB,LB1050.9,LB1091,1050.9,1091.0,Theory and practice of education,Educational psychology,,,
LB,LB1091.001,LB1100.999,1091.001,1100.999,Theory and practice of education,,,,
LB,LB1101,LB1139,1101.0,1139.0,Theory and practice of education,Child study,,,
LB,LB1139.001,LB1139.199,1139.001,1139.199,Theory and practice of education,,,,
LB,LB1139.2,LB1139.5,1139.2,1139.5,Theory and practice of education,Early childhood education,,,
LB,LB1139.501,LB1139.999,1139.501,1139.999,Theory and practice of education,,,,
LB,LB1140,LB1140.5,1140.0,1140.5,Theory and practice of education,Preschool education. Nursery schools,,,
LB,LB1140.501,LB1140.999,1140.501,1140.999,Theory and practice of education,,,,
LB,LB1141,LB1489,1141.0,1489.0,Theory and practice of education,Kindergarten,,,
LB,LB1489.001,LB1500.999,1489.001,1500.999,Theory and practice of education,,,,
LB,LB1501,LB1547,1501.0,1547.0,Theory and practice of education,Primary education,,,
LB,LB1547.001,LB1554.999,1547.001,1554.999,Theory and practice of education,,,,
LB,LB1555,LB1602,1555.0,1602.0,Theory and practice of education,Elementary or public school education,,,
LB,LB1602.001,LB1602.999,1602.001,1602.999,Theory and practice of education,,,,
LB,LB1603,LB1696.6,1603.0,1696.6,Theory and practice of education,Secondary education. High schools,,,
LB,LB1696.601,LB1704.999,1696.601,1704.999,Theory and practice of education,,,,
LB,LB1705,LB1770.999,1705.0,1770.999,Theory and practice of education,,,,
LB,LB1771,LB1773,1771.0,1773.0,Theory and practice of education,Education and training of teachers and administrators,Certification of teachers,,
LB,LB1773.001,LB1774.999,1773.001,1774.999,Theory and practice of education,Education and training of teachers and administrators,,,
LB,LB1775,LB1785,1775.0,1785.0,Theory and practice of education,Education and training of teachers and administrators,Professional aspects of teaching and school administrators. Vocational guidance,,
LB,LB1785.001,LB1804.999,1785.001,1804.999,Theory and practice of education,Education and training of teachers and administrators,,,
LB,LB1805,LB1810.999,1805.0,1810.999,Theory and practice of education,Education and training of teachers and administrators,,,
LB,LB1811,LB1987,1811.0,1987.0,Theory and practice of education,Education and training of teachers and administrators,State teachers colleges,United States,
LB,LB1987.001,LB1990.999,1987.001,1990.999,Theory and practice of education,Education and training of teachers and administrators,State teachers colleges,,
LB,LB1991,LB2151,1991.0,2151.0,Theory and practice of education,Education and training of teachers and administrators,State teachers colleges,Other regions or countries,
LB,LB2151.001,LB2164.999,2151.001,2164.999,Theory and practice of education,Education and training of teachers and administrators,State teachers colleges,,
LB,LB2165,LB2278,2165.0,2278.0,Theory and practice of education,Education and training of teachers and administrators,Teacher training in universities and colleges,,
LB,LB2278.001,LB2286,2278.001,2286.0,Theory and practice of education,Education and training of teachers and administrators,,,
LB,LB2286.001,LB2299.999,2286.001,2299.999,Theory and practice of education,,,,
LB,LB2300,LB2326.399,2300.0,2326.399,Theory and practice of education,Education and training of teachers and administrators,,,
LB,LB2326.4,LB2330,2326.4,2330.0,Theory and practice of education,Higher education,Institutions of higher education,,
LB,LB2330.001,LB2331.699,2330.001,2331.699,Theory and practice of education,Higher education,,,
LB,LB2331.7,LB2335.8,2331.7,2335.8,Theory and practice of education,Higher education,Teaching personnel,,
LB,LB2335.801,LB2335.859,2335.801,2335.859,Theory and practice of education,Higher education,,,
LB,LB2335.86,LB2335.885,2335.86,2335.885,Theory and practice of education,Higher education,Trade unions,,
LB,LB2335.886,LB2335.949,2335.886,2335.949,Theory and practice of education,Higher education,,,
LB,LB2335.95,LB2337,2335.95,2337.0,Theory and practice of education,Higher education,"Endowments, trusts, etc.",,
LB,LB2337.001,LB2337.199,2337.001,2337.199,Theory and practice of education,Higher education,,,
LB,LB2337.2,LB2340.8,2337.2,2340.8,Theory and practice of education,Higher education,Student financial aid,,
LB,LB2340.801,LB2340.999,2340.801,2340.999,Theory and practice of education,Higher education,,,
LB,LB2341,LB2341.95,2341.0,2341.95,Theory and practice of education,Higher education,Supervision and administration. Business management,,
LB,LB2341.951,LB2350.999,2341.951,2350.999,Theory and practice of education,Higher education,,,
LB,LB2351,LB2359,2351.0,2359.0,Theory and practice of education,Higher education,Admissions and entrance requirements,,
LB,LB2359.001,LB2360.999,2359.001,2360.999,Theory and practice of education,Higher education,,,
LB,LB2361,LB2365,2361.0,2365.0,Theory and practice of education,Higher education,Curriculum,,
LB,LB2365.001,LB2365.999,2365.001,2365.999,Theory and practice of education,Higher education,,,
LB,LB2366,LB2367.75,2366.0,2367.75,Theory and practice of education,Higher education,College examinations,,
LB,LB2367.751,LB2370.999,2367.751,2370.999,Theory and practice of education,Higher education,,,
LB,LB2371,LB2372,2371.0,2372.0,Theory and practice of education,Higher education,Graduate education,,
LB,LB2372.001,LB2380.999,2372.001,2380.999,Theory and practice of education,Higher education,,,
LB,LB2381,LB2391,2381.0,2391.0,Theory and practice of education,Higher education,Academic degrees,,
LB,LB2391.001,LB2430,2391.001,2430.0,Theory and practice of education,Higher education,,,
LB,LB2430.001,LB2798.999,2430.001,2798.999,Theory and practice of education,,,,
LB,LB2799,LB2799.3,2799.0,2799.3,Theory and practice of education,Educational consultants and consulting,,,
LB,LB2799.301,LB2800.999,2799.301,2800.999,Theory and practice of education,,,,
LB,LB2801,LB2831.599,2801.0,2831.599,Theory and practice of education,,,,
LB,LB2831.6,LB2831.99,2831.6,2831.99,Theory and practice of education,School administration and organization,Administrative personnel,,
LB,LB2831.991,LB2831.999,2831.991,2831.999,Theory and practice of education,School administration and organization,,,
LB,LB2832,LB2844.1,2832.0,2844.1,Theory and practice of education,School administration and organization,Teaching personnel,,
LB,LB2844.101,LB2844.519,2844.101,2844.519,Theory and practice of education,School administration and organization,Teaching personnel,,
LB,LB2844.52,LB2844.63,2844.52,2844.63,Theory and practice of education,School administration and organization,Trade unions,,
LB,LB2844.631,LB3010.999,2844.631,3010.999,Theory and practice of education,School administration and organization,Trade unions,,
LB,LB3011,LB3044.999,3011.0,3044.999,Theory and practice of education,School administration and organization,Trade unions,,
LB,LB3045,LB3048,3045.0,3048.0,Theory and practice of education,School administration and organization,School management and discipline,Textbooks,
LB,LB3048.001,LB3049.999,3048.001,3049.999,Theory and practice of education,School administration and organization,School management and discipline,,
LB,LB3050,LB3060.87,3050.0,3060.87,Theory and practice of education,School administration and organization,School management and discipline,"Educational tests, measurements, evaluations and examinations",
LB,LB3060.871,LB3095,3060.871,3095.0,Theory and practice of education,School administration and organization,School management and discipline,,
LB,LB3095.001,LB3200.999,3095.001,3200.999,Theory and practice of education,,,,
LB,LB3201,LB3325,3201.0,3325.0,Theory and practice of education,School architecture and equipment. School physical facilities. Campus planning,,,
LB,LB3325.001,LB3400.999,3325.001,3400.999,Theory and practice of education,,,,
LB,LB3401,LB3495,3401.0,3495.0,Theory and practice of education,School hygiene. School health services,,,
LB,LB3495.001,LB3496.999,3495.001,3496.999,Theory and practice of education,,,,
LB,LB3497,LB3499,3497.0,3499.0,Theory and practice of education,Hygiene in universities and colleges,,,
LB,LB3499.001,LB3524.999,3499.001,3524.999,Theory and practice of education,,,,
LB,LB3525,LB3575,3525.0,3575.0,Theory and practice of education,Special days,,,
LB,LB3575.001,LB3601.999,3575.001,3601.999,Theory and practice of education,,,,
LB,LB3602,LB3640,3602.0,3640.0,Theory and practice of education,School life. Student manners and customs,,,
LC,LC1,LC7.999,1.0,7.999,Special aspects of education,,,,
LC,LC8,LC8,8.0,8.0,Special aspects of education,Forms of education,General works,,
LC,LC8.001,LC14.999,8.001,14.999,Special aspects of education,Forms of education,,,
LC,LC15,LC15,15.0,15.0,Special aspects of education,Forms of education,Conversation and culture,,
LC,LC15.001,LC24.999,15.001,24.999,Special aspects of education,Forms of education,,,
LC,LC25,LC33,25.0,33.0,Special aspects of education,Forms of education,Self-education. Self-culture,,
LC,LC33.001,LC36.999,33.001,36.999,Special aspects of education,Forms of education,,,
LC,LC37,LC44.3,37.0,44.3,Special aspects of education,Forms of education,Home education,,
LC,LC44.301,LC44.999,44.301,44.999,Special aspects of education,Forms of education,,,
LC,LC45,LC45.8,45.0,45.8,Special aspects of education,Forms of education,Nonformal education,,
LC,LC45.801,LC46.999,45.801,46.999,Special aspects of education,Forms of education,,,
LC,LC47,LC57.999,47.0,57.999,Special aspects of education,Forms of education,,,
LC,LC58,LC58.7,58.0,58.7,Special aspects of education,Forms of education,Private school education,Preparatory schools. Preparatory school education,
LC,LC58.701,LC58.999,58.701,58.999,Special aspects of education,Forms of education,Private school education,,
LC,LC59,LC59,59.0,59.0,Special aspects of education,Forms of education,Public school education,,
LC,LC59.001,LC64.999,59.001,64.999,Special aspects of education,Forms of education,,,
LC,LC65,LC67.68,65.0,67.68,Special aspects of education,Social aspects of education,Economic aspects of education,,
LC,LC67.681,LC67.999,67.681,67.999,Special aspects of education,Social aspects of education,,,
LC,LC68,LC70,68.0,70.0,Special aspects of education,Social aspects of education,Demographic aspects of education,,
LC,LC70.001,LC70.999,70.001,70.999,Special aspects of education,Social aspects of education,,,
LC,LC71,LC71.999,71.0,71.999,Special aspects of education,Social aspects of education,,,
LC,LC72,LC72.5,72.0,72.5,Special aspects of education,Social aspects of education,Education and the state,Academic freedom,
LC,LC72.501,LC106.999,72.501,106.999,Special aspects of education,Social aspects of education,Education and the state,,
LC,LC107,LC120.4,107.0,120.4,Special aspects of education,Social aspects of education,Education and the state,Public school question. Secularization. Religious instruction in the public schools,
LC,LC120.401,LC128.999,120.401,128.999,Special aspects of education,Social aspects of education,Education and the state,,
LC,LC129,LC139,129.0,139.0,Special aspects of education,Social aspects of education,Compulsory education,,
LC,LC139.001,LC141.999,139.001,141.999,Special aspects of education,Social aspects of education,,,
LC,LC142,LC148.5,142.0,148.5,Special aspects of education,Social aspects of education,Attendance. Dropouts,,
LC,LC148.501,LC148.999,148.501,148.999,Special aspects of education,Social aspects of education,,,
LC,LC149,LC161,149.0,161.0,Special aspects of education,Social aspects of education,Literacy. Illiteracy,,
LC,LC161.001,LC164.999,161.001,164.999,Special aspects of education,Social aspects of education,,,
LC,LC165,LC182,165.0,182.0,Special aspects of education,Social aspects of education,Higher education and the state,,
LC,LC182.001,LC183.999,182.001,183.999,Special aspects of education,Social aspects of education,,,
LC,LC184,LC188,184.0,188.0,Special aspects of education,Social aspects of education,Taxation of schools and colleges,,
LC,LC188.001,LC188.999,188.001,188.999,Special aspects of education,Social aspects of education,,,
LC,LC189,LC211.999,189.0,211.999,Special aspects of education,Social aspects of education,,,
LC,LC212,LC212.863,212.0,212.863,Special aspects of education,Social aspects of education,Educational sociology,Discrimination in education,
LC,LC212.864,LC212.899,212.864,212.899,Special aspects of education,Social aspects of education,Educational sociology,,
LC,LC212.9,LC212.93,212.9,212.93,Special aspects of education,Social aspects of education,Educational sociology,Sex differences in education,
LC,LC212.931,LC212.999,212.931,212.999,Special aspects of education,Social aspects of education,Educational sociology,,
LC,LC213,LC214.53,213.0,214.53,Special aspects of education,Social aspects of education,Educational sociology,Educational equalization. Right to education,
LC,LC214.531,LC214.999,214.531,214.999,Special aspects of education,Social aspects of education,Educational sociology,,
LC,LC215,LC222.999,215.0,222.999,Special aspects of education,Social aspects of education,Educational sociology,,
LC,LC223,LC223,223.0,223.0,Special aspects of education,Social aspects of education,Community and the school,Schools as community centers,
LC,LC223.001,LC224.999,223.001,224.999,Special aspects of education,Social aspects of education,Community and the school,,
LC,LC225,LC226.7,225.0,226.7,Special aspects of education,Social aspects of education,Community and the school,Home and school,
LC,LC226.701,LC229.999,226.701,229.999,Special aspects of education,Social aspects of education,Community and the school,,
LC,LC230,LC235,230.0,235.0,Special aspects of education,Social aspects of education,Community and the school,Parent-teacher associations. Home and school associations,
LC,LC235.001,LC236.999,235.001,236.999,Special aspects of education,Social aspects of education,Community and the school,,
LC,LC237,LC238.4,237.0,238.4,Special aspects of education,Social aspects of education,Community and the school,College-university and the community,
LC,LC238.401,LC240.999,238.401,240.999,Special aspects of education,Social aspects of education,Community and the school,,
LC,LC241,LC245,241.0,245.0,Special aspects of education,Social aspects of education,"Foundations, endowments, funds",,
LC,LC245.001,LC250.999,245.001,250.999,Special aspects of education,Social aspects of education,,,
LC,LC251,LC318,251.0,318.0,Special aspects of education,Moral and religious education,Moral education. Character building,,
LC,LC318.001,LC320.999,318.001,320.999,Special aspects of education,Moral and religious education,,,
LC,LC321,LC360.999,321.0,360.999,Special aspects of education,Moral and religious education,,,
LC,LC361,LC445.999,361.0,445.999,Special aspects of education,Moral and religious education,,,
LC,LC446,LC454,446.0,454.0,Special aspects of education,Moral and religious education,Religion and education. Education under church control,Christian education. Church education,Orthodox Eastern Church
LC,LC454.001,LC460.999,454.001,460.999,Special aspects of education,Moral and religious education,Religion and education. Education under church control,,
LC,LC461,LC510,461.0,510.0,Special aspects of education,Moral and religious education,Religion and education. Education under church control,Christian education. Church education,Roman Catholic
LC,LC510.001,LC530.999,510.001,530.999,Special aspects of education,Moral and religious education,Religion and education. Education under church control,,
LC,LC531,LC629,531.0,629.0,Special aspects of education,Moral and religious education,Religion and education. Education under church control,Christian education. Church education,Protestant
LC,LC629.001,LC700.999,629.001,700.999,Special aspects of education,Moral and religious education,Religion and education. Education under church control,,
LC,LC701,LC775,701.0,775.0,Special aspects of education,Moral and religious education,Religion and education. Education under church control,Jewish education,
LC,LC775.001,LC900.999,775.001,900.999,Special aspects of education,Moral and religious education,Religion and education. Education under church control,,
LC,LC901,LC915,901.0,915.0,Special aspects of education,Moral and religious education,Religion and education. Education under church control,Islamic education,
LC,LC915.001,LC920.999,915.001,920.999,Special aspects of education,Moral and religious education,Religion and education. Education under church control,,
LC,LC921,LC929.7,921.0,929.7,Special aspects of education,Moral and religious education,Religion and education. Education under church control,Buddhist education,
LC,LC929.701,LC950.999,929.701,950.999,Special aspects of education,Moral and religious education,Religion and education. Education under church control,,
LC,LC951,LC951,951.0,951.0,Special aspects of education,Moral and religious education,Religion and education. Education under church control,Other,
LC,LC951.001,LC979.999,951.001,979.999,Special aspects of education,Moral and religious education,Religion and education. Education under church control,,
LC,LC980,LC1000.999,980.0,1000.999,Special aspects of education,Moral and religious education,,,
LC,LC1001,LC1021.999,1001.0,1021.999,Special aspects of education,,,,
LC,LC1022,LC1022.25,1022.0,1022.25,Special aspects of education,Types of education,Humanistic education. Liberal education,Computer-assisted education,
LC,LC1022.251,LC1024,1022.251,1024.0,Special aspects of education,Moral and religious education,,,
LC,LC1024.001,LC1024.999,1024.001,1024.999,Special aspects of education,Types of education,,,
LC,LC1025,LC1027,1025.0,1027.0,Special aspects of education,Types of education,Collective education,,
LC,LC1027.001,LC1029.999,1027.001,1029.999,Special aspects of education,Types of education,,,
LC,LC1030,LC1030,1030.0,1030.0,Special aspects of education,Types of education,Communist education,,
LC,LC1030.001,LC1030.999,1030.001,1030.999,Special aspects of education,Types of education,,,
LC,LC1031,LC1034.5,1031.0,1034.5,Special aspects of education,Types of education,Competency based education,,
LC,LC1034.501,LC1034.999,1034.501,1034.999,Special aspects of education,Types of education,,,
LC,LC1035,LC1035.8,1035.0,1035.8,Special aspects of education,Types of education,Basic education. Basic skills education,,
LC,LC1035.801,LC1035.999,1035.801,1035.999,Special aspects of education,Types of education,,,
LC,LC1036,LC1036.8,1036.0,1036.8,Special aspects of education,Types of education,Community education,,
LC,LC1036.801,LC1036.999,1036.801,1036.999,Special aspects of education,Types of education,,,
LC,LC1037,LC1037.8,1037.0,1037.8,Special aspects of education,Types of education,Career education,,
LC,LC1037.801,LC1040.999,1037.801,1040.999,Special aspects of education,Types of education,,,
LC,LC1041,LC1048,1041.0,1048.0,Special aspects of education,Types of education,Vocational education (General),,
LC,LC1048.001,LC1048.999,1048.001,1048.999,Special aspects of education,Types of education,,,
LC,LC1049,LC1049.8,1049.0,1049.8,Special aspects of education,Types of education,Cooperative education,,
LC,LC1049.801,LC1050.999,1049.801,1050.999,Special aspects of education,Types of education,,,
LC,LC1051,LC1072,1051.0,1072.0,Special aspects of education,Types of education,Professional education,,
LC,LC1072.001,LC1080.999,1072.001,1080.999,Special aspects of education,Types of education,,,
LC,LC1081,LC1087.4,1081.0,1087.4,Special aspects of education,Types of education,Industrial education (General),,
LC,LC1087.401,LC1089.999,1087.401,1089.999,Special aspects of education,Types of education,,,
LC,LC1090,LC1091,1090.0,1091.0,Special aspects of education,Types of education,Political education,,
LC,LC1091.001,LC1098.999,1091.001,1098.999,Special aspects of education,Types of education,,,
LC,LC1099,LC1099.5,1099.0,1099.5,Special aspects of education,Types of education,Multicultural education (General),,
