Code,Range Start,Range End,Normalized Subject,LJ Subject
GB,2401,2598,Geography (G-GB),Geography
GB,2801,2998,Geography (G-GB),Geography
GB,5000,5030,Geography (G-GB),Geography
GC,1,62.999,Oceanography (GC),Geography
GC,83,87.6,Oceanography (GC),Geography
GC,96,97.8,Oceanography (GC),Geography
GC,97.801,99.999,Oceanography (GC),Geography
GC,109,149,Oceanography (GC),Geography
GC,190,190.5,Oceanography (GC),Geography
GC,377,399,Oceanography (GC),Geography
GC,401,881,Oceanography (GC),Geography
GC,1000,1023,Oceanography (GC),Geography
GC,1080,1581,Oceanography (GC),Geography
GE,1,69.999,Environmental Sciences (GE),Geography
GE,70,90,Environmental Sciences (GE),Geography
GE,90.001,169.999,Environmental Sciences (GE),Geography
GE,170,190,Environmental Sciences (GE),Geography
GE,195,199,Environmental Sciences (GE),Geography
GE,300,350,Environmental Sciences (GE),Geography
GF,75,75,Anthropology (GF-GT),Anthropology
GF,75.001,100.999,Anthropology (GF-GT),Anthropology
GF,101,124.999,Anthropology (GF-GT),Anthropology
GF,500,900,Anthropology (GF-GT),Anthropology
GN,1,48.999,Anthropology (GF-GT),Anthropology
GN,49,50.999,Anthropology (GF-GT),Anthropology
GN,62.8,265,Anthropology (GF-GT),Anthropology
GN,269,279,Anthropology (GF-GT),Anthropology
GN,281,281.999,Anthropology (GF-GT),Anthropology
GN,296,296.5,Anthropology (GF-GT),Anthropology
GN,301,356.999,Anthropology (GF-GT),Anthropology
GN,357,367,Anthropology (GF-GT),Anthropology
GN,378,396,Anthropology (GF-GT),Anthropology
GN,406,442,Anthropology (GF-GT),Anthropology
GN,448,450.8,Anthropology (GF-GT),Anthropology
GN,451,477.7,Anthropology (GF-GT),Anthropology
GN,478,491.7,Anthropology (GF-GT),Anthropology
GN,492,495.2,Anthropology (GF-GT),Anthropology
GN,495.4,498,Anthropology (GF-GT),Anthropology
GN,502,517,Anthropology (GF-GT),Anthropology
GN,550,674,Anthropology (GF-GT),Anthropology
GN,700,890,Anthropology (GF-GT),Anthropology
GR,72,79,Anthropology (GF-GT),Anthropology
GR,99.6,390,Anthropology (GF-GT),Anthropology
GT,500,2370,Anthropology (GF-GT),Anthropology
GV,1,181.349,Recreation & Sports (GV),Recreation
GV,181.35,181.6,Recreation & Sports (GV),Recreation
GV,191.2,198.944,Recreation & Sports (GV),Recreation
GV,201,345.999,Recreation & Sports (GV),Recreation
GV,351.501,400.999,Recreation & Sports (GV),Recreation
GV,435,436.7,Recreation & Sports (GV),Recreation
GV,557,710.999,Recreation & Sports (GV),Recreation
GV,711.001,711.999,Recreation & Sports (GV),Recreation
GV,712,725,Recreation & Sports (GV),Recreation
GV,743,749,Recreation & Sports (GV),Recreation
GV,861,1017,Recreation & Sports (GV),Recreation
GV,1100,1150.9,Recreation & Sports (GV),Recreation
GV,1199,1201.499,Recreation & Sports (GV),Recreation
GV,1469.15,1469.62,Recreation & Sports (GV),Recreation
GV,1580,1799.4,Dance (GV),Arts & Architecture
